Province,District,Candidate no.,Party,Votes
Bangkok Metropolis,4,23,Kru Thai,45
Bangkok Metropolis,4,9,People Progressive party,40
Bangkok Metropolis,4,25,Powerful Love Party,35
Bangkok Metropolis,4,31,Thai Rak Tham,32
Bangkok Metropolis,4,15,Paradonraphab Party,26
Bangkok Metropolis,4,29,Polamuang Thai,25
Bangkok Metropolis,4,30,Power of Faith party,20
Bangkok Metropolis,4,32,Thai Network Party,17
Bangkok Metropolis,4,27,Prachatham Thai,13
Bangkok Metropolis,4,18,Thai Raksa Chart,0
Bangkok Metropolis,5,13,Pheu Thai,27897
Bangkok Metropolis,5,2,Palang Pracharath Party,27667
Bangkok Metropolis,5,8,Future Forward Party,25484
Bangkok Metropolis,5,9,Democrat Party,18711
Bangkok Metropolis,5,29,New Economics Party,5707
Bangkok Metropolis,5,7,Thai Liberal Party,2583
Bangkok Metropolis,5,4,Bhumjaithai Party,746
Bangkok Metropolis,5,17,Action Coalition for Thailand,603
Bangkok Metropolis,5,11,Chart Thai Pattana,436
Bangkok Metropolis,5,15,Thai Forest Conservation Party,369
Bangkok Metropolis,5,1,Chart Pattana,291
Bangkok Metropolis,5,14,Puea Chat party,221
Bangkok Metropolis,5,6,Thai Civilised,209
Bangkok Metropolis,5,24,Thai Ethnic party,164
Bangkok Metropolis,5,3,Prachachat Party,140
Bangkok Metropolis,5,21,New Democracy Party,107
Bangkok Metropolis,5,22,Palang Chart Thai,104
Bangkok Metropolis,5,12,People Progressive party,97
Bangkok Metropolis,5,18,Palang Sungkom,97
Bangkok Metropolis,5,10,New Palangdharma Party,92
Bangkok Metropolis,5,26,Thai Local Power Party,86
Bangkok Metropolis,5,33,Democratic Force party,82
Bangkok Metropolis,5,25,Palang Thai Rak Thai,77
Bangkok Metropolis,5,23,Kru Thai,56
Bangkok Metropolis,5,16,Paradonraphab Party,38
Bangkok Metropolis,5,20,Prashaniyom,38
Bangkok Metropolis,5,30,Mahachon Party,30
Bangkok Metropolis,5,28,Thai Network Party,24
Bangkok Metropolis,5,32,Prachatham Thai,16
